43
1	37	47.91
1	8	114.88
1	18	21.7
1	35	103.29
2	37	115.88
2	8	179.5
2	12	52.65
2	3	82.25
3	38	25
3	9	23
3	12	78
4	21	29
4	29	69.12
4	28	19
5	23	34.51
5	35	104.74
5	10	44.35
5	36	50.11
5	34	65.43
6	26	37.18
6	31	42.17
6	39	65.05
7	15	29.58
7	25	72.83
8	1	114.88
8	37	67.67
8	2	179.5
8	12	139.69
8	19	79.52
8	41	43.94
8	13	51.67
8	30	72.64
8	18	136.57
9	38	3
9	3	23
10	5	44.35
10	35	60.58
10	36	94.39
10	18	80.71
10	1	103.93
11	17	106.2
11	19	57.4
11	21	19.2
11	43	18.5
11	29	44.2
12	21	61
12	43	64.48
12	19	93.01
12	2	56.7
12	3	81.4
13	16	67.1
13	30	28.2
13	8	53.4
13	41	28.3
13	17	91.1
14	27	123.5
14	24	19.5
15	7	31.1
15	32	40.8
16	42	345.5
16	34	512.6
16	30	449.6
16	13	67.1
17	13	91.1
17	41	70
17	19	111.5
17	11	106.2
17	29	209.9
17	31	27.8
17	26	66.5
18	1	21.69
18	10	80.78
18	8	136.57
18	30	53.92
18	34	93.05
19	41	63.18
19	8	79.84
19	17	111.5
19	11	57.4
19	43	64.52
19	12	93.01
20	42	20.65
21	12	61
21	43	31.48
21	11	19.2
21	29	44.65
21	4	29
22	35	140.43
22	33	69.87
22	40	47.02
23	32	191.7
23	33	198.55
23	35	67.46
23	5	34.51
24	25	54.25
24	14	19.5
25	24	54.25
25	7	72.83
26	6	37.18
26	31	44.9
26	17	66.5
27	14	123.5
28	4	19
28	29	51.56
29	39	81.09
29	17	209.9
29	11	44.2
29	21	44.65
29	4	69.12
29	28	51.56
30	18	53.92
30	34	81.9
30	16	449.6
30	13	28.2
30	8	72.64
31	39	49.03
31	17	27.8
31	26	44.9
31	6	42.17
32	33	23
32	15	40.8
32	23	191.7
33	32	23
33	40	61
33	23	198.55
33	22	69.87
33	35	156.91
34	36	40.45
34	5	65.43
34	42	144.18
34	16	512.6
34	30	81.9
34	18	93.05
35	22	140.43
35	33	156.91
35	23	67.46
35	5	104.74
35	10	60.58
35	1	103.29
35	37	132.47
36	5	50.11
36	10	94.39
36	34	40.45
37	35	132.47
37	1	47.91
37	8	67.67
37	2	115.88
38	9	3
38	3	25
39	6	65.05
39	31	49.03
39	29	81.09
40	33	61
40	22	47.02
41	13	28.3
41	17	70
41	19	63.18
41	8	43.94
42	20	20.65
42	34	144.18
42	16	345.5
43	11	18.5
43	19	64.52
43	12	64.48
43	21	31.48
