18
1	8	30
1	16	35.9
2	9	49.8
2	13	89.6
3	7	12.2
3	12	70.8
3	13	92.8
3	15	64.8
3	18	36
4	6	51
4	7	26.1
4	11	51.4
4	17	43.4
4	18	30.7
5	8	30.6
5	14	9.4
6	4	51
6	8	44
6	11	36.1
6	14	8.3
7	3	12.2
7	4	26.1
7	17	18.7
7	18	43.3
8	1	30
8	5	30.6
8	6	44
8	11	25.7
8	14	38.1
8	16	60.2
9	2	49.8
9	10	22.4
9	13	41.2
9	15	133
10	9	22.4
11	4	51.4
11	6	36.1
11	8	25.7
11	16	26.7
11	17	39.9
12	3	70.8
12	13	50.6
12	18	56.6
13	2	89.6
13	3	92.8
13	9	41.2
13	12	50.6
13	15	92.6
14	5	9.4
14	6	8.3
14	8	38.1
15	3	64.8
15	9	133
15	13	92.6
16	1	35.9
16	8	60.2
16	11	26.7
16	17	19.8
17	4	43.4
17	7	18.7
17	11	39.9
17	16	19.8
18	3	36
18	4	30.7
18	7	43.3
18	12	56.6
